model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Pearson_mean,Pearson_std
baseline,average,0.6979004144668579,0.01815505453611668,0.8684466938112317,0.02209195747465758,0.3455181002616882,0.04077173508856927
baseline,grading_strictness_label,0.4793318510055542,0.023979752507192368,0.5626308157089712,0.021868853474423036,,
baseline,teamwork_load_label,1.027452790737152,0.055294175368547714,1.1589511502217928,0.05147664520214837,,
baseline,workload_label,0.5869166135787964,0.04798491512113444,0.7732071201140546,0.05800515490696386,,
tfidf_mlp,average,0.5091970860958099,0.018424886127047915,0.6506311989141368,0.03014248694663876,0.7166054606437683,0.039247922564998435
tfidf_mlp,grading_strictness_label,0.41745195984840394,0.02684701841168688,0.5270151330345847,0.03505129379196173,0.4081444382667542,0.12431087445337138
tfidf_mlp,teamwork_load_label,0.6705883264541626,0.05511198886311441,0.8100342159172115,0.06648451972875655,0.7403787851333619,0.03596733048702511
tfidf_mlp,workload_label,0.43955098986625674,0.017551965954036842,0.5770995639946083,0.00977062481017573,0.6679207801818847,0.05886942015026591
