model,target,MAE_mean,MAE_std,RMSE_mean,Pearson_mean,Pearson_std
baseline,average,0.696138070042832,0.03149615017898436,0.8663594344933664,0.3492212493320005,0.031116931362135322
baseline,grading_strictness_label,0.48164071554547744,0.04637742002891011,0.5603962224805681,,
baseline,teamwork_load_label,1.0191292517006802,0.02196622720375158,1.1558255784691667,,
baseline,workload_label,0.5876442428823381,0.05444348483796654,0.7716184140974057,,
bert,average,0.496750600249679,0.019103681585467828,0.6257346193088018,0.7444060481896213,0.024974948891642906
bert,grading_strictness_label,0.43824770676143593,0.038303373697566874,0.5273671147703265,0.4498290933739371,0.11526825474874927
bert,teamwork_load_label,0.6081383865447272,0.037804475140635556,0.7421363465248831,0.7887817472159038,0.03908771548274076
bert,workload_label,0.44386570744287396,0.040460221524917454,0.5836155928702718,0.6911952653561683,0.07140894521996423
