model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Pearson_mean,Pearson_std
baseline,average,0.6994309425354004,0.015016889321916353,0.8697462714328144,0.020570298877377647,0.3450604021549225,0.037091556630148174
baseline,grading_strictness_label,0.4789115607738495,0.05030413608434268,0.5601586269926604,0.053680251690988785,,
baseline,teamwork_load_label,1.0348742723464965,0.0750337133913012,1.1587108229692555,0.0742273773568703,,
baseline,workload_label,0.5845069646835327,0.034092508870197304,0.7766548276601764,0.051697216711253956,,
best_search,average,0.4989914417266846,0.024612089129242603,0.6455071599381975,0.018299205882063706,0.7207305788993835,0.03756247538754449
best_search,grading_strictness_label,0.4035884737968445,0.0428826009286166,0.5158198232119486,0.032567690105977654,0.45675631761550906,0.06574160605583838
best_search,teamwork_load_label,0.6571868181228637,0.02771953609802111,0.8060846520215064,0.03979970202357367,0.7362882852554321,0.05463281778374004
best_search,workload_label,0.4361989974975586,0.06388708966749466,0.5715926019025458,0.07640514256474756,0.6836497187614441,0.056727931099841214
