fold,target,model,mae,rmse,pearson_r
1,workload_label,baseline,0.5559788942337036,0.7228260562481458,
1,teamwork_load_label,baseline,1.1570621728897095,1.2735088773042829,
1,grading_strictness_label,baseline,0.39953139424324036,0.47923836137153963,
1,average,baseline,0.7041907906532288,0.8895639155380703,0.33329224586486816
1,workload_label,tfidf_mlp,0.40509119629859924,0.5434395923541318,0.6719174385070801
1,teamwork_load_label,tfidf_mlp,0.679523766040802,0.8350248256579124,0.8260505199432373
1,grading_strictness_label,tfidf_mlp,0.3578168451786041,0.4749023412398147,0.40645328164100647
1,average,tfidf_mlp,0.48081058263778687,0.6372140467465817,0.7474206686019897
2,workload_label,baseline,0.5924161672592163,0.789090562075937,
2,teamwork_load_label,baseline,0.9826707243919373,1.1176527428408665,
2,grading_strictness_label,baseline,0.4807356894016266,0.5535928644038091,
2,average,baseline,0.6852743029594421,0.8521104851821546,0.3329802453517914
2,workload_label,tfidf_mlp,0.46678492426872253,0.6040807997314112,0.6474100351333618
2,teamwork_load_label,tfidf_mlp,0.6712918281555176,0.8186438164033097,0.6942499279975891
2,grading_strictness_label,tfidf_mlp,0.42093613743782043,0.5090171902925789,0.44017863273620605
2,average,tfidf_mlp,0.5196710228919983,0.6568079120919692,0.6902940273284912
3,workload_label,baseline,0.5826959609985352,0.772694317349539,
3,teamwork_load_label,baseline,0.9903250336647034,1.1085648600797344,
3,grading_strictness_label,baseline,0.5173040628433228,0.5885049392133169,
3,average,baseline,0.6967750191688538,0.850942718624345,0.3097251057624817
3,workload_label,tfidf_mlp,0.45367035269737244,0.5873473689482052,0.6786190271377563
3,teamwork_load_label,tfidf_mlp,0.6997201442718506,0.8434655098435405,0.6624085903167725
3,grading_strictness_label,tfidf_mlp,0.46275585889816284,0.5617371260352363,0.39378464221954346
3,average,tfidf_mlp,0.5387154817581177,0.6762543053410639,0.6593971252441406
4,workload_label,baseline,0.6440967917442322,0.8674002034282732,
4,teamwork_load_label,baseline,0.9581758975982666,1.0765888493251883,
4,grading_strictness_label,baseline,0.4531771242618561,0.5384236018799851,
4,average,baseline,0.6851499080657959,0.856607036914908,0.41704657673835754
4,workload_label,tfidf_mlp,0.5134336948394775,0.6604208331372776,0.648550808429718
4,teamwork_load_label,tfidf_mlp,0.6099787354469299,0.7288271158812287,0.7441467046737671
4,grading_strictness_label,tfidf_mlp,0.3568658232688904,0.5033180293015492,0.40612566471099854
4,average,tfidf_mlp,0.493426114320755,0.6378802371653877,0.736578106880188
5,workload_label,baseline,0.5473470091819763,0.731262999198987,
5,teamwork_load_label,baseline,1.0861375331878662,1.2172387852962057,
5,grading_strictness_label,baseline,0.5438095331192017,0.6410333680946513,
5,average,baseline,0.7257646918296814,0.8995072009045939,0.33225783705711365
5,workload_label,tfidf_mlp,0.3446590006351471,0.457117496405945,0.7839365005493164
5,teamwork_load_label,tfidf_mlp,0.6735953688621521,0.8228182713718745,0.746972918510437
5,grading_strictness_label,tfidf_mlp,0.427931010723114,0.5434157363543566,0.5625953674316406
5,average,tfidf_mlp,0.48206180334091187,0.6275048843512853,0.7577729821205139
