model,target,MAE_mean,MAE_std,RMSE_mean,RMSE_std,Pearson_mean,Pearson_std
baseline,average,0.6994309425354004,0.015016889321916353,0.8697462714328144,0.020570298877377647,0.3450604021549225,0.037091556630148174
baseline,grading_strictness_label,0.4789115607738495,0.05030413608434268,0.5601586269926604,0.053680251690988785,,
baseline,teamwork_load_label,1.0348742723464965,0.0750337133913012,1.1587108229692555,0.0742273773568703,,
baseline,workload_label,0.5845069646835327,0.034092508870197304,0.7766548276601764,0.051697216711253956,,
tfidf_mlp,average,0.5029370009899139,0.022697737359974875,0.6471322771392576,0.017383420398636006,0.7182925820350647,0.03740080676426013
tfidf_mlp,grading_strictness_label,0.40526113510131834,0.041613312958862024,0.5184780846447071,0.030696619840165036,0.44182751774787904,0.06232442397401564
tfidf_mlp,teamwork_load_label,0.6668219685554504,0.030135153464400224,0.8097559078315731,0.041410011114464074,0.7347657322883606,0.055582401688262444
tfidf_mlp,workload_label,0.4367278337478638,0.057535751710693736,0.5704812181153941,0.06794868093289336,0.6860867619514466,0.050469684242991364
